id,shortName,longName,distance,map,geoFence,start,end
0b081f50-ec44-43bc-b138-659dc782b2f3,richmond,Richmond,4726.577,"LINESTRING (-0.295043 51.449862, -0.29499 51.45034, -0.29502 51.45049, -0.29497 51.45064, -0.29487 51.45076, -0.29303 51.45188, -0.29235 51.4522, -0.29165 51.45246, -0.29124 51.45258, -0.29049 51.45287, -0.28948 51.4535, -0.2887 51.45403, -0.28848 51.45424, -0.28797 51.45453, -0.2877 51.45474, -0.28747 51.45485, -0.2873 51.45485, -0.28714 51.45489, -0.28708 51.4553, -0.28695 51.45543, -0.28676 51.45554, -0.28601 51.45562, -0.2858 51.45554, -0.28563 51.45543, -0.2854 51.45534, -0.28486 51.4554, -0.28443 51.45534, -0.28389 51.45542, -0.28324 51.45541, -0.28243 51.45571, -0.28236 51.45591, -0.28223 51.45601, -0.28199 51.45608, -0.28118 51.45611, -0.28093 51.45611, -0.28035 51.45603, -0.27949 51.45605, -0.27919 51.45603, -0.27893 51.45606, -0.27805 51.45598, -0.27553 51.45586, -0.2751 51.45589, -0.27472 51.45578, -0.27442 51.45576, -0.27267 51.45576, -0.27193 51.45577, -0.26839 51.45622, -0.26723 51.45577, -0.26716 51.4553, -0.26763 51.45205, -0.26819 51.452, -0.26986 51.45197, -0.27097 51.4519, -0.27317 51.45164, -0.27425 51.45149, -0.27837 51.45073, -0.28031 51.45029, -0.28156 51.44995, -0.28343 51.44926, -0.2842 51.44905, -0.28495 51.44894, -0.28637 51.44885, -0.28797 51.44888, -0.28906 51.44893, -0.29227 51.44932, -0.293664 51.449577, -0.295046 51.449863)","POLYGON((-0.2719813585281372 51.45632675272955,-0.27273237705230713 51.454942883825765,-0.27145564556121826 51.45408713713459,-0.26812970638275146 51.45506322191761,-0.26757180690765375 51.45593232093995,-0.26765763759613037 51.45656073607884,-0.27042567729949946 51.45662090303193,-0.2719813585281372 51.45632675272955))","POINT(-0.29288600000000997 51.451960999999955)","POINT(-0.295043 51.450002)"
45f9b935-188e-4f3b-9a2a-833cb0ae7c6c,crystal,Crystal Palace,4966.445205,"LINESTRING (-0.064245 51.419386, -0.064524 51.419459, -0.065779 51.419754, -0.065801 51.419673, -0.06586500000000001 51.419513, -0.06579 51.419366, -0.065854 51.419178, -0.06596200000000001 51.418984, -0.06567199999999999 51.41879, -0.065329 51.418757, -0.06482400000000001 51.41877, -0.064277 51.41877, -0.06397700000000001 51.41873, -0.063805 51.418777, -0.063719 51.418676, -0.06364400000000001 51.418496, -0.063859 51.418288, -0.063988 51.418061, -0.064181 51.417967, -0.065178 51.417606, -0.065887 51.417271, -0.066606 51.41695, -0.067292 51.416964, -0.068354 51.417017, -0.06859 51.417245, -0.06902999999999999 51.417592, -0.068976 51.417706, -0.06728099999999999 51.418583, -0.066777 51.419285, -0.066359 51.420088, -0.06564 51.421523, -0.065597 51.421998, -0.065608 51.42245, -0.06579 51.422925, -0.06582200000000001 51.423045, -0.066858 51.422878, -0.068118 51.422731, -0.068837 51.422838, -0.069143 51.423223, -0.06904100000000001 51.423601, -0.06961000000000001 51.423955, -0.070479 51.424136, -0.070725 51.424029, -0.070618 51.423902, -0.070522 51.423721, -0.07049999999999999 51.423607, -0.070511 51.42342, -0.07065 51.423306, -0.071326 51.422664, -0.07163700000000001 51.422677, -0.071659 51.422771, -0.071133 51.423681, -0.071173 51.424216, -0.071857 51.424335, -0.072002 51.423654, -0.072238 51.4233, -0.07320400000000001 51.421768, -0.074212 51.420255, -0.074598 51.419626, -0.074813 51.41954, -0.075628 51.420021, -0.075757 51.420188, -0.07517799999999999 51.421078, -0.07391200000000001 51.423099, -0.073408 51.423942, -0.072742 51.423962, -0.071981 51.423668, -0.071726 51.424373, -0.071641 51.424553, -0.07138799999999999 51.424676, -0.071219 51.424928, -0.070994 51.425092, -0.07080599999999999 51.42526, -0.070656 51.425281, -0.070475 51.42532, -0.070213 51.425337, -0.069919 51.425293, -0.06969499999999999 51.425186, -0.06941799999999999 51.425009, -0.069199 51.424812, -0.06854200000000001 51.4245, -0.067217 51.424397, -0.066694 51.424232, -0.066166 51.423997, -0.06603199999999999 51.423134, -0.06511400000000001 51.422836, -0.064406 51.422607, -0.064556 51.4219, -0.065141 51.421269, -0.06572600000000001 51.419867, -0.06321499999999999 51.419232)","POLYGON((-0.06513476371765135 51.41916166790023,-0.06728053092956543 51.41878698731156,-0.06792426109313965 51.41776998166006,-0.06863236427307129 51.41715441461497,-0.06762385368347167 51.41687339212095,-0.06560683250427246 51.416900156242406,-0.06453394889831542 51.41767630894881,-0.06389021873474121 51.417997471730985,-0.06328940391540527 51.41846583007674,-0.0643622875213623 51.41886727626769,-0.06513476371765135 51.41916166790023))","POINT(-0.063253 51.41917000000001)","POINT(-0.064283 51.419324)"
0a6604cb-49a8-4152-8075-08c33fb91969,lymepark,Lyme Park,4941.817584,"LINESTRING (-2.055797 53.341341, -2.055797 53.341347, -2.055915 53.34209, -2.055872 53.342321, -2.055732 53.342712, -2.055507 53.343038, -2.055207 53.343448, -2.055078 53.34382, -2.054842 53.344627, -2.054703 53.345171, -2.05452 53.346087, -2.054445 53.346446, -2.054241 53.346824, -2.053984 53.347221, -2.053758 53.347528, -2.053651 53.347868, -2.053426 53.348668, -2.053319 53.349546, -2.053372 53.349904, -2.05349 53.350129, -2.053823 53.350487, -2.054145 53.350878, -2.054209 53.351025, -2.054348 53.351493, -2.054316 53.351922, -2.053962 53.352537, -2.053447 53.351883, -2.052846 53.351288, -2.052728 53.350705, -2.052514 53.350378, -2.052289 53.350097, -2.051945 53.349693, -2.051752 53.349501, -2.051591 53.348982, -2.051548 53.348656, -2.051656 53.348022, -2.051709 53.347317, -2.051538 53.345978, -2.051538 53.345537, -2.051527 53.345139, -2.051709 53.34489, -2.051741 53.344678, -2.051859 53.34446, -2.052074 53.341469, -2.052353 53.340918, -2.05231 53.340438, -2.052203 53.340226, -2.052224 53.34015, -2.052525 53.339874, -2.052997 53.339586, -2.05275 53.339439, -2.052439 53.339381, -2.052171 53.339317, -2.051924 53.339202, -2.051774 53.338964, -2.051548 53.338619, -2.051269 53.338356, -2.051076 53.338228, -2.050905 53.338055, -2.050154 53.337843, -2.049767 53.337773, -2.048973 53.33767, -2.048566 53.337613, -2.048061 53.337504, -2.047589 53.337414, -2.047182 53.33735, -2.046817 53.337299, -2.047139 53.336793, -2.047192 53.33669, -2.047085 53.336626, -2.047267 53.336492, -2.047589 53.335941, -2.048018 53.33539, -2.048297 53.335198, -2.048533 53.335114, -2.048727 53.335012, -2.048973 53.334845, -2.049145 53.334666, -2.049166 53.334506, -2.049274 53.334467, -2.049413 53.334339, -2.049639 53.334057, -2.04996 53.333839, -2.050411 53.333372, -2.050905 53.332802, -2.051216 53.332609, -2.05142 53.332251, -2.051591 53.33184, -2.051838 53.331507, -2.052138 53.331155, -2.052664 53.330726, -2.054842 53.332078, -2.057589 53.33366, -2.057739 53.333897, -2.057792 53.334089, -2.05761 53.33441, -2.057492 53.334736, -2.057492 53.334877, -2.057578 53.335095, -2.057674 53.335415, -2.057653 53.33571, -2.05761 53.335979, -2.0579 53.3363, -2.057996 53.336428)
","POLYGON((-2.04970121383667 53.33781780744428,-2.04994797706604 53.33758398258223,-2.0493578910827637 53.337324531577394,-2.0484888553619385 53.33714836024225,-2.0477163791656494 53.33698500071765,-2.0471853017807002 53.336876094020255,-2.046922445297241 53.33689851601011,-2.046777606010437 53.33730851603153,-2.0470136404037476 53.337439843329975,-2.048140168190002 53.33761601346106,-2.04970121383667 53.33781780744428))","POINT(-2.058311 53.336899)","POINT(-2.055838 53.341303)"
